age,annual_income,purchase_frequency,average_basket_value,discount_usage_rate,online_purchase_share,recency_days,customer_segment
49,2062830.13,78,2288.9,0.96,0.54,82,2
20,1595765.68,14,2557.44,0.44,0.08,57,0
44,869696.01,76,1308.63,0.49,0.02,50,1
46,1616155.22,58,2407.71,0.35,0.1,74,1
49,1388547.44,56,3343.38,0.91,0.41,98,2
67,1151295.95,24,3780.77,0.57,0.93,26,3
75,457169.39,36,3793.95,0.76,0.64,30,2
68,2233519.91,18,2931.67,0.81,0.8,73,2
36,1206993.92,54,4531.36,0.34,0.47,110,1
38,607362.9,32,4105.3,0.43,0.36,115,1
22,1014234.47,57,3809.54,0.85,0.11,31,1
35,1123204.92,28,372.47,0.36,0.88,42,0
45,2094714.05,83,133.7,0.79,0.78,119,0
59,1873993.79,26,1140.99,0.94,0.17,68,2
39,1957866.5,34,3351.27,0.62,0.51,61,0
38,175923.47,67,2114.87,0.74,0.49,61,2
23,1127961.9,8,2071.79,0.81,0.63,70,0
18,1281158.76,81,4434.48,0.85,0.95,78,1
22,195101.85,63,4488.26,0.4,0.58,68,1
58,760561.04,91,4554.96,0.05,0.54,90,1
29,1936681.08,12,1638.0,0.4,0.05,111,0
43,472207.81,86,3486.17,0.67,0.06,112,1
63,1407978.81,16,1431.0,0.45,0.19,103,2
51,655724.4,35,1033.99,0.75,0.03,17,0
66,178483.82,82,1004.7,0.36,0.74,19,3
31,716823.43,38,1776.33,0.63,0.72,51,0
43,2443303.32,86,2206.79,0.19,0.14,113,1
62,2033612.21,79,4171.65,0.75,0.84,70,2
44,2405005.11,80,687.47,0.55,0.15,63,0
26,1296457.0,53,3701.14,0.2,0.3,93,1
43,407880.07,83,2704.13,0.29,0.25,75,1
74,1437704.8,61,1510.93,0.75,0.37,80,2
64,1217786.74,99,2514.82,0.48,0.25,30,3
74,2134239.14,97,1569.72,0.22,0.49,25,3
39,380494.06,30,3020.8,0.97,0.41,104,2
64,1297366.67,22,2225.84,0.72,0.99,75,2
73,502614.36,100,905.59,0.96,0.06,71,2
47,912988.43,90,671.26,0.43,0.14,26,0
60,1882789.13,42,2778.81,0.48,0.05,56,3
65,1268642.6,85,4521.82,0.9,0.63,22,2
34,1033337.47,91,1785.39,0.53,0.05,89,1
43,1077019.25,92,3691.7,0.71,0.84,19,1
53,1229699.91,54,3327.44,0.25,0.51,31,3
18,1994788.88,12,4664.62,0.45,0.53,26,0
25,2246399.02,45,4122.81,0.12,0.56,42,1
66,2395036.51,10,2876.37,0.21,0.17,41,3
52,1999222.96,73,3319.45,0.0,0.2,100,1
69,891206.21,48,4502.09,0.04,0.32,23,3
32,1767116.56,68,2057.64,0.98,0.59,47,0
64,1178367.34,33,1701.29,0.24,0.21,13,3
73,748475.96,32,152.97,0.66,0.12,89,2
39,2126048.21,15,4150.1,0.84,0.97,66,2
31,240301.92,69,4024.81,0.55,0.02,66,1
43,2269140.68,23,611.83,0.15,0.8,16,0
45,1234472.04,13,2926.6,0.73,0.79,73,2
40,1647423.47,31,2373.51,0.6,0.3,28,0
31,1699481.72,38,681.67,0.73,0.14,77,0
41,2253526.69,48,4904.78,0.77,0.15,35,2
19,1646173.75,72,1152.01,0.98,0.7,41,0
62,1592743.92,86,429.45,0.57,0.64,77,3
43,306632.3,19,3014.75,0.34,0.78,31,3
31,1368258.85,55,3720.45,0.65,0.94,85,1
73,502897.15,17,258.97,0.07,0.69,32,3
68,1882969.36,87,3327.72,0.9,0.16,54,2
24,1353721.51,53,2708.23,0.12,0.24,98,1
20,1748535.28,74,606.0,0.33,0.84,72,0
64,247931.32,60,945.37,0.82,0.21,59,2
40,349261.24,80,2883.07,0.6,0.07,41,1
63,1833359.96,55,1552.15,0.39,0.7,112,3
60,319398.19,41,4697.75,0.47,0.4,66,2
64,317453.31,21,4111.83,0.85,0.92,102,2
62,178454.92,62,4919.48,0.34,0.65,96,1
35,2397778.29,91,1372.39,0.87,0.09,54,0
75,1883144.64,94,4851.65,0.09,0.95,40,3
55,980140.81,33,2213.05,0.78,0.26,28,2
52,846858.62,37,1802.84,0.85,0.34,37,2
68,971802.59,64,346.71,0.18,0.4,105,3
32,1970435.8,95,358.55,0.43,0.05,65,0
42,1704220.94,93,3490.86,0.17,0.5,105,1
72,585209.58,59,2343.85,0.71,0.12,74,2
54,559156.94,14,1209.96,0.54,0.4,55,0
45,381229.78,51,3108.45,0.64,0.35,4,2
27,1701711.39,27,1339.0,0.2,0.77,99,0
56,1946275.76,89,2930.4,0.21,0.8,10,3
74,772859.11,25,1860.12,0.04,0.15,47,3
34,199220.66,17,4135.41,0.32,0.37,75,1
56,343103.42,37,4121.41,0.56,0.37,14,2
39,2424471.08,28,2439.02,0.86,0.15,38,0
43,844295.23,15,1819.01,0.67,0.8,12,0
61,1957674.4,21,1876.54,0.44,0.71,45,3
42,1617959.39,72,4048.0,0.95,0.19,17,2
34,1047558.15,51,1708.08,0.72,0.37,80,0
30,633365.07,29,1124.39,0.93,0.11,35,0
37,435258.08,98,514.97,0.53,0.63,66,1
42,1595280.47,77,2386.8,0.26,0.12,75,1
21,1970389.38,25,2462.45,0.05,0.99,41,0
27,1663175.0,88,4220.45,0.73,0.78,67,1
20,1396210.01,87,1184.07,0.12,0.39,29,1
58,248585.38,87,1966.86,0.3,0.58,18,3
62,2425948.63,16,4061.19,0.53,0.91,20,3
35,2026978.35,41,4135.76,0.56,0.55,111,1
64,838131.79,46,1984.59,0.6,0.17,14,3
53,2452930.27,21,2349.71,0.17,0.38,34,3
64,1564421.74,52,1586.1,0.38,0.84,49,3
39,1518693.25,32,4669.52,0.62,0.64,54,2
51,1907971.97,45,681.35,0.97,0.65,31,0
64,2057659.0,51,4675.37,0.73,0.87,58,2
25,1692724.73,22,3450.95,0.92,0.89,104,2
57,451025.0,82,2704.7,0.76,0.92,42,2
66,944928.64,75,260.03,0.59,0.09,58,3
61,2330996.55,17,2430.42,0.19,0.54,82,3
36,677846.69,86,2097.97,0.67,0.74,30,0
59,1024592.51,17,889.97,0.62,0.76,25,0
58,1165380.67,35,3316.41,0.6,0.61,63,2
54,1182601.73,6,4858.64,0.49,0.17,19,2
23,1590408.02,20,2854.73,0.53,0.8,72,0
69,2366228.22,13,3602.29,0.33,0.72,92,3
43,715627.87,77,435.41,0.52,0.09,8,0
51,435528.23,42,2146.57,0.2,0.46,95,1
73,614055.65,79,670.16,0.81,0.17,3,2
62,2234273.52,58,3102.7,0.19,0.34,67,3
23,1667655.41,60,4698.56,0.08,0.02,108,1
54,821880.95,90,3342.71,0.44,0.4,86,1
74,2067475.31,91,476.33,0.66,0.55,81,3
50,2174219.49,49,1837.86,0.44,0.62,100,3
70,2139308.7,38,2798.25,0.28,0.66,17,3
39,2309477.35,13,2075.72,0.56,0.84,14,0
38,742766.4,92,4184.86,0.35,0.22,115,1
23,1924348.53,12,4091.89,0.93,0.12,9,0
23,1232267.82,11,3097.97,0.92,0.85,62,0
72,2128696.6,40,1929.94,0.5,0.16,94,3
65,1861953.09,22,1351.15,0.33,0.97,21,3
21,1974651.5,7,618.78,0.74,0.84,76,0
47,1691980.32,32,1839.0,0.04,0.5,37,3
28,566957.61,74,2124.55,0.47,0.98,96,1
47,1430813.26,48,3411.53,0.34,0.1,11,3
48,2463973.89,25,3324.98,0.92,0.3,20,0
41,2352861.96,32,443.53,0.01,0.64,35,3
72,251458.28,58,2036.77,0.55,0.35,53,2
26,537314.82,58,990.72,0.74,0.93,47,0
72,459562.62,69,868.38,0.49,0.07,110,2
20,1856052.79,25,4153.78,0.09,0.55,75,1
68,2071795.53,17,305.38,0.97,0.59,52,0
48,651751.71,61,2154.0,0.52,0.65,8,0
57,1338753.83,53,924.2,0.61,0.26,4,0
54,2125652.12,58,4408.72,0.24,0.36,27,3
53,1872083.63,14,2829.5,0.48,0.84,44,3
41,1424257.43,57,1233.77,0.43,0.19,40,0
